mesurement id;Destination;mean(max RTT) from mPlane;mean(max RTT) from FranceIX;mean(max RTT) from LISP-Lab;variance from mPlane;variance from FranceIX;variance from LISP-Lab;Country;Continent
5277722;2400:cb00:2048:1::6818:a02;2.51434599112426;1.4770523934911242;10.623211834319527;4.8113442424359256;0.69629140426597824;40.618809730098413;HK;AS
5277603;2400:cb00:2048:1::6810:56ca;2.8265993051359519;1.3747428640483383;9.7748767824773424;94.03162530808244;0.24357273425653439;9.4165265831465188;HK;AS
5277639;2a00:1450:4007:805::2003;12.565548095238098;1.6103632113095239;20.105547247023811;7.7151886602472661;0.43816694697740483;11.348243848639372;IE;EU
5277728;2400:cb00:2048:1::681b:d61e;2.3402459552238808;2.1884595373134328;10.68548971641791;1.2061138258108783;111.38543206068302;23.051333596940893;HK;AS
5277645;2a00:1450:4007:805::2003;12.489465457227139;1.8639283628318584;22.660365442477875;4.6600134635913095;10.600368332575373;828.90058957856797;IE;EU
5277596;2001:978:2:aa::25:2;12.087867655786349;11.491615827893174;17.441486943620177;34.908327551144055;9.6333987668689041;18.075226002615441;DE;EU
5277696;2a00:1450:4007:805::2003;12.414570133531155;2.455332525222552;20.379477626112759;5.5406909264102957;238.94288915810705;37.283544096710841;IE;EU
5277629;2a00:1450:4007:805::2003;12.679543679525221;1.7014378130563799;20.797652299703266;22.642404432645364;4.2819102122588992;53.421575318649552;IE;EU
5277668;2a00:1450:4007:805::2003;12.794097777777777;1.6164099039039039;20.328562852852855;26.516708629897458;0.61335322396720993;12.570215124415135;IE;EU
5277686;2400:cb00:2048:1::6819:1b65;2.5034926409495553;1.4784437477744807;10.229701454005935;24.471368664456083;2.8191710346454291;16.085175745135722;HK;AS
5277558;2400:cb00:2048:1::6814:104;2.7067082492581602;1.9306037952522255;11.012034569732936;26.28226742501964;50.912317072271129;97.096381339314433;HK;AS
5277501;2a02:6b8:a::a;43.056309169139467;37.476664275964389;63.700895103857562;78.207727686376913;2.4867934936307758;1365.9121352532056;RU;EU
5277511;2a00:1450:4007:805::2003;12.382339328358208;1.7691669014925375;19.689839104477613;3.3358770991694735;2.4466592883344118;8.7972237943059142;IE;EU
5277497;2620:109:c002::6cae:a0a;94.997926908284015;78.389635594674559;110.73570795857989;1985.6706155493257;86.887562976411672;5200.2400800778951;US;NA
5277710;2400:cb00:2048:1::6814:4298;3.0874481804281348;1.5667609143730887;10.900315428134556;95.556246940939872;2.4968257400832403;134.95946412071558;HK;AS
5277698;2a04:cb41:f016:1::46;19.93297263473054;20.601437676646704;24.851744476047905;23.364747013900097;78.706525003683666;9.0278375975920166;NL;EU
5277537;2a00:1450:4007:805::2003;12.727127982195846;1.5965430919881307;19.843122388724034;23.225251004825452;0.31865664164203611;16.558605794598815;IE;EU
5277631;2400:cb00:2048:1::6819:1863;2.1780014179104481;1.5804642208955224;9.8710217313432835;0.42007821328030304;1.6769449161866019;9.3830262667990922;HK;AS
5277702;2a00:1450:4007:80c::2009;13.345772658610272;1.8352643897280965;20.353469274924471;128.16206092388035;5.0687233821618092;19.722335224687694;IE;EU
5277678;2a00:1450:4007:805::2003;12.569848991097922;1.8882019080118693;20.900067922848663;8.528882374107587;18.564082226254918;68.436663587396566;IE;EU
5277712;2a02:6b8:a::a;42.502199772036477;38.66582374772036;60.208903054711243;35.091162655613395;277.61148650473177;17.000809882457922;RU;EU
5277694;2400:cb00:2048:1::681c:1bd1;3.1088842342342344;1.8009403963963966;10.326771831831833;186.06618343275744;19.275412398347644;13.891337596478778;HK;AS
5277680;2400:cb00:2048:1::6814:3fcb;2.3421515522388061;1.4438664089552238;10.21031328358209;4.4345341058962484;0.59968506686060596;13.3845721753231;HK;AS
5277641;2a00:1450:4007:805::2003;12.5386734375;1.5279334523809522;19.57570052083333;29.362743657707011;0.30850563957649768;8.7344435123648303;IE;EU
5277485;2a00:1450:4007:806::200e;12.099350193452381;1.7466489761904762;19.949767589285713;1.2530988170558404;1.9588373436653685;22.064187763992251;IE;EU
5277714;2a00:1450:4007:805::2003;12.505353973214286;1.5457124880952382;22.998136860119047;4.434170381450806;0.12514741823811293;2299.7116174921448;IE;EU
5277539;2a02:b48:4000:d::1;11.63976883233533;13.406087179640718;20.659451586826346;54.994366195531867;0.378148935514381;81.373465541425034;UA;EU
5277505;2a00:1450:4007:805::2003;13.027821339285714;1.6044309821428571;20.235617901785716;76.229853576535419;0.47927921185555905;19.117586447938084;IE;EU
5277609;2a00:1450:4007:805::2003;12.778947567164179;1.5725933402985073;23.066733402985076;32.746206753064008;0.35346314756797387;1184.5629240229177;IE;EU
