mesurement id;Destination;median(min RTT) from mPlane;median(min RTT) from FranceIX;median(min RTT) from LISP-Lab;variance from mPlane;variance from FranceIX;variance from LISP-Lab;Country;Continent
5277678;2a00:1450:4007:805::2003;11.888935;1.257976;18.275345000000002;0.22965522135383595;0.0049761877036433519;2.2431890002980297;IE;EU
5277712;2a02:6b8:a::a;41.059820000000002;36.960664999999999;58.527014999999999;10.263602387764852;1.3303140103495235;2.7662741498522316;RU;EU
5277694;2400:cb00:2048:1::681c:1bd1;1.87537;1.1282570000000001;8.1049749999999996;0.042684384236696599;0.0056039056398074476;3.2172829072624531;HK;AS
5277680;2400:cb00:2048:1::6814:3fcb;1.7887299999999999;1.1079920000000001;8.0804050000000007;0.048322701225131208;0.0057205084043849943;2.2175737729648128;HK;AS
5277641;2a00:1450:4007:805::2003;11.906265000000001;1.2582485000000001;18.2639575;0.089501992061606223;0.0038466797855083619;1.816500010098806;IE;EU
5277485;2a00:1450:4007:806::200e;11.824797500000001;1.3077765000000001;18.275774999999999;0.13741345009636463;0.0077960727080096989;9.2686623381918132;IE;EU
5277714;2a00:1450:4007:805::2003;11.913084999999999;1.2810999999999999;18.258342500000001;0.18914423102641628;0.005744692034178535;2.3167600836763502;IE;EU
5277539;2a02:b48:4000:d::1;10.495015;13.082823999999999;18.00853;0.061055182339691288;0.01320438505540397;2.4982032868518251;UA;EU
5277505;2a00:1450:4007:805::2003;11.861789999999999;1.2952925;18.259282500000001;0.064031570001994734;0.0083834757492142753;2.284439553936942;IE;EU
5277609;2a00:1450:4007:805::2003;11.903729999999999;1.2844500000000001;18.272359999999999;27.188898585436814;0.007923223095207271;2.0689688419190877;IE;EU
5277643;2620:106:e003:f00e::63;154.16998000000001;134.394713;168.637045;70.029865595228614;0.016787827022859414;5.829185055467196;US;NA
5277670;2400:cb00:2048:1::6810:a632;1.8810625000000001;1.0872635000000002;8.0837725000000002;0.098564930237616935;0.0061592071343907311;1.8412153684672565;HK;AS
5277519;2a00:1450:4007:805::2009;11.875355000000001;1.268966;18.12771;0.16852601660441219;0.0040858927670111298;2.8830267309927016;IE;EU
5277515;2a00:1450:4007:805::2003;11.880915000000002;1.298872;18.273622500000002;0.084200489734392731;0.0088046612471184803;2.6028193020414294;IE;EU
5277523;2a02:26f0:b2:198::d80;20.889559999999999;20.963730999999999;36.246510000000001;13.624512762751776;0.18997606700208516;2.584649501982839;;EU
5277583;2a00:1450:4007:805::2003;11.895782499999999;1.28725;18.28913;0.038068485952200685;0.0073146183139333769;1.6994626018135806;IE;EU
5277553;2a00:1450:4007:805::2003;11.916124999999999;1.296135;18.294934999999999;0.55460749136309939;0.0078064265274995822;2.6954892485157762;IE;EU
5277601;2a00:1450:4007:808::2009;11.710525000000001;1.440469;18.5504;1.2192124517296821;1.1548664662407182;10.446957281989532;IE;EU
5277724;2400:cb00:2048:1::6814:3338;1.824865;1.1380539999999999;8.288432499999999;0.044307315441596273;0.0074691021117537278;2.6846853813489653;HK;AS
5277718;2a02:6b8::50;57.517319999999998;56.56756;62.985840000000003;9.6403981692393543;1.49602787931906;2.3605985219144552;RU;EU
5277692;2a01:e0c:1::1;1.9994925000000001;1.9665085;20.191690000000001;0.039463092707007257;0.0054839410362491669;1.5918713805207432;FR;EU
5277525;2a00:1450:4007:805::2003;11.885305000000001;1.2385980000000001;18.262364999999999;2.2557561874384291;0.0028528175247757573;2.2215882503598503;IE;EU
5277613;2a00:1450:4007:805::2003;11.882775000000001;1.2680910000000001;18.278565;0.07609280786168672;0.0067966401145969947;2.1634765095224782;IE;EU
5277625;2003:2:4:164:217:6:164:162;19.544080000000001;13.524641000000001;15.9781;66.201569814423564;64.336239245965558;76.230036496857139;DE;EU
5277561;2a00:1450:4007:805::2003;11.904909999999999;1.2343580000000001;18.263784999999999;0.035585209917500395;0.0045823563677684052;2.8746261529021777;IE;EU
5277543;2a00:1450:4007:805::2003;11.902850000000001;1.2925599999999999;18.267925000000002;1.666717353250492;0.0070079340221236418;1.8951675512153892;IE;EU
5277531;2a00:1450:4007:806::2009;11.7588875;1.407435;18.212215;0.66915031076695863;0.0055664358324897228;2.3818665196354711;IE;EU
5277611;2400:cb00:2048:1::6810:35a2;1.8146;1.0534650000000001;8.201035000000001;0.085497568571384061;0.0054528260170673736;2.3415742763123939;HK;AS
5277509;2a00:1148:db00:0:b0b0::1;48.882599999999996;47.893564499999997;55.30489;3.0423028633442191;1.3227054983104174;2.2671000509271138;RU;EU
5277579;2a00:1450:4007:805::200e;11.959645;1.3881109999999999;18.478079999999999;0.051841143734323025;0.0048722408286161548;3.136916563568882;IE;EU
5277627;2a00:1450:4007:805::2003;11.896655000000001;1.2834749999999999;18.284855;0.050195692548400984;0.0059887784984645996;2.4934716773732579;IE;EU
5277571;2a00:1450:4007:805::2003;11.9020975;1.3072275;18.252557500000002;0.032767177663612541;0.0082192537982988846;3.6555527842916029;IE;EU
5277617;2a00:1450:4007:805::2003;11.899000000000001;1.2961939999999998;18.2749925;0.010015976236652471;0.0081914929588161496;2.5152619601567805;IE;EU
5277716;2a00:1450:4007:80c::2009;11.854302499999999;1.265736;18.3893925;0.68583483238973086;0.0042498810431110005;2.4642724486368328;IE;EU
5277655;2a00:1450:4007:805::2003;11.878515;1.2884025000000001;18.27356;0.53364798824307835;0.0072068247260807742;2.6863457836712366;IE;EU
5277513;2a00:1450:4007:805::2003;11.906745000000001;1.2818705000000001;18.267659999999999;0.093646429845493026;0.007775276838951308;2.4419123741882922;IE;EU
5277493;2a00:1450:4007:805::2003;11.90249;1.274961;18.30866;0.36576915250357189;0.0064719980960245829;3.0974440661935279;IE;EU
5277688;2a00:1450:4007:805::2003;11.873984999999999;1.2963249999999999;18.28763;0.398414320395997;0.0080217800071504201;1.7794021817852281;IE;EU
