measurement_id;destination;common_hops_num;FranceIX_hops_num;LISP-Lab_hops_num;FranceIX_country_path;LISP-Lab_country_path;Country;Continent
6963760;192.33.31.56;1;4;5;['FR', 'FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964438;37.48.119.34;1;4;5;['FR', 'FR', None, 'NL'];['FR', 'FR', 'DE', 'NL', 'NL'];NL;EU
6963594;103.23.108.107;1;5;5;['FR', 'FR', None, 'TW', 'TW'];['FR', 'FR', 'DE', 'GB', 'TW'];TW;AS
6963876;104.20.23.247;1;4;4;['FR', 'FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963716;172.217.19.142;1;1;4;['US'];['FR', 'FR', 'IT', 'US'];US;NA
6964454;117.79.92.119;2;4;6;['FR', 'US', 'CN', 'CN'];['FR', 'FR', 'DE', 'GB', 'CN', 'CN'];CN;AS
6963734;94.182.163.3;1;4;6;['FR', None, '/', 'IR'];['FR', 'FR', 'DE', 'GB', None, 'IR'];IR;AS
6964069;161.47.7.14;1;3;5;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963550;23.206.4.202;1;1;3;['US'];['FR', 'FR', 'US'];US;NA
6963922;104.16.108.24;1;3;4;['FR', 'NL', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6964027;104.16.59.133;1;4;4;['FR', 'FR', 'NL', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6964181;209.200.152.198;1;3;4;['FR', None, 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6964297;220.243.193.127;2;3;5;['FR', 'US', 'CN'];['FR', 'FR', 'FR', 'US', 'CN'];CN;AS
6964434;104.24.10.2;1;4;4;['FR', 'FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6964448;178.236.137.157;3;6;6;['FR', 'FR', 'FR', 'RU', 'RU', 'GB'];['FR', 'FR', 'DE', 'RU', 'RU', 'GB'];GB;EU
6963940;23.3.148.75;1;4;5;['FR', 'FR', None, 'GB'];['FR', 'FR', 'DE', 'GB', None];NL;EU
6964418;170.20.0.18;2;4;5;['FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964193;104.93.248.186;2;4;5;['FR', 'FR', 'FR', 'US'];['FR', 'FR', 'FR', 'FR', 'US'];US;NA
